month_start,avg_vwap_eur_mwh,total_traded_volume_mwh,buy_volume_mwh,sell_volume_mwh,import_volume_mwh,export_volume_mwh,trading_intervals,net_sidc_mwh,avg_spread,median_spread,p10_spread,p90_spread
2021-02-01,51.43492245863761,10244.210000000001,5718.96,4526.325,3827.2749999999996,2638.925,1994.0,1188.3499999999995,-192.43444897959185,-194.49,-263.13,-123.22500000000001
2021-03-01,57.009092129676304,18351.85,8980.25,9371.075,6655.725,7052.075,2754.0,-396.34999999999945,-212.6574255952381,-207.675,-268.894,-159.13200000000003
2021-04-01,66.93799340203233,20961.0,9756.71,11203.525,7575.15,9027.325,2742.0,-1452.175000000001,-248.0058108108108,-247.555,-323.695,-169.93
2021-05-01,63.49829723829505,20942.86,9141.42,11800.899999999998,7116.325,9781.625,2817.0,-2665.3,-233.89888563049854,-240.17000000000002,-316.92,-149.121
2021-06-01,79.99832800195304,18309.83,8881.04,9428.2,6696.5,7249.475,2761.0,-552.9750000000004,-155.29820058997052,-197.455,-330.21299999999997,4.002
2021-07-01,99.7910811232534,22045.96,10925.07,11120.275000000001,7363.9,7565.5,2881.0,-201.60000000000036,-1.908354430379747,-1.0,-13.919999999999987,9.25
2021-08-01,117.60024842650697,21036.0,9032.46,12003.675,4705.025,7682.475,2864.0,-2977.4500000000007,-4.941331444759206,-2.25,-27.214999999999996,13.900000000000006
2021-09-01,146.16477647947215,24207.620000000003,11275.689999999999,12931.0,8034.05,9694.75,2778.0,-1660.6999999999998,-0.5269811320754723,-0.8300000000000125,-15.851999999999995,14.828000000000015
2021-10-01,206.87053759398148,21557.44,10713.82,10843.487500000001,6347.475,6483.05,2763.0,-135.57499999999982,0.3516961651917414,-0.28000000000000114,-34.64500000000001,34.615000000000016
2021-11-01,242.6912276216297,24468.94,11682.57,12786.175000000001,7184.55,8294.0,2681.0,-1109.4499999999998,-0.7721625766871163,0.5749999999999886,-30.911999999999985,25.941000000000003
2021-12-01,285.1664758391178,20562.37,11360.130000000001,9202.025000000001,8021.424999999999,5868.55,2634.0,2152.874999999999,4.394454976303317,2.700000000000017,-26.5,41.396000000000036
2022-01-01,213.07195806133802,21000.67,9212.57,11788.2,5140.1,7721.25,2692.0,-2581.1499999999996,0.7807253086419752,1.0100000000000051,-29.978000000000023,30.923999999999996
2022-02-01,187.13359363327316,19717.510000000002,8245.04,11472.05,4709.349999999999,7941.325000000001,2460.0,-3231.9750000000013,-5.982474576271186,-2.299999999999997,-40.510999999999996,25.834000000000007
2022-03-01,317.282134945519,29878.28,14052.900000000001,15825.25,8913.75,10691.8,2714.0,-1778.0499999999993,-1.1693282442748087,0.40999999999996817,-48.745999999999974,49.17200000000004
2022-04-01,194.40540445301392,19884.510000000002,7989.18,11895.050000000001,5357.7,9268.6,2563.0,-3910.9000000000005,-3.110983870967743,-2.8800000000000097,-48.01199999999998,33.59
