period_start,biomass_cf_pct,lignite_cf_pct,gas_cf_pct,hard_coal_cf_pct,hydro_ror_cf_pct,hydro_reservoir_cf_pct,nuclear_cf_pct,solar_cf_pct,wind_cf_pct,storage_cf_pct
2015-01-01,55.73077417695473,14.420833333333333,41.7613387345679,100.0,48.09820936213992,28.723814905591865,98.4536541005291,1.2256738683127573,28.3341690779321,0.0
2015-02-01,57.93537946428571,14.771949404761905,36.475541028911564,100.0,50.39690426587301,27.556169030112045,100.0,2.0578753306878306,33.31046037946429,0.0
2015-03-01,56.347779273216695,13.062920592193809,33.39928715631609,100.0,55.1114248541947,27.809132293563454,96.68594885598924,2.87901450575744,29.118881224764472,0.0
2015-04-01,46.72424768518518,10.398819444444445,18.684214781746032,100.0,56.68672685185185,23.356956699346405,97.18061011904763,3.9949981481481482,32.74813628472222,0.0
2015-05-01,54.623566308243724,28.40604838709677,15.80490687403994,100.0,52.05215053763441,29.342069892473116,62.569161866359444,4.12773476702509,16.880208333333332,0.0
2015-06-01,51.504629629629626,71.61999999999999,24.070039682539683,26.21412037037037,42.16699074074074,20.134272875816993,91.8561507936508,4.479135802469136,18.784765625,0.0
2015-07-01,48.27774417562724,100.0,45.49079493087558,41.740795250896056,30.956121863799286,16.8979261543327,96.87267569124425,4.861880525686978,12.083117439516128,0.0
2015-08-01,51.70250896057348,100.0,44.766273041474655,31.00403225806452,23.900358422939068,17.93825110689437,96.64016897081413,4.573626045400239,19.792086693548384,0.0
2015-09-01,48.10648148148148,100.0,41.373065476190476,31.303009259259255,22.41486111111111,18.22920751633987,97.49861111111112,3.4587654320987657,23.749652777777776,0.0
2015-10-01,48.71496644295302,92.2238255033557,47.92010067114094,47.60706040268457,35.71268680089486,17.984238057639164,99.74764429530202,2.531860700969426,23.25846182885906,0.0
2015-11-01,49.049108796296295,100.0,53.508553075396826,33.386604166666665,29.934907407407408,19.832475490196078,99.86562996031748,2.0101382716049385,27.54815407986111,0.0
2015-12-01,45.299059139784944,100.0,60.353974654377886,29.34834229390681,31.546102150537635,20.482882669196712,99.94806067588326,1.507258064516129,21.16981686827957,0.0
2016-01-01,41.20345446388515,100.0,61.63478177273601,35.27545984746523,31.35715567519067,17.97973240440187,99.60776773697366,1.1838193509795125,30.413189771197846,0.0
2016-02-01,39.990421455938694,76.02492816091953,40.76878078817734,41.31944444444444,46.378591954022994,13.862153482082487,99.19858374384236,2.05897190293742,31.33791307471264,0.0
2016-03-01,45.956550022431585,62.74481830417228,34.4570178811767,39.946081202332884,48.163989232839846,17.36291346686723,100.0,2.9303424555106923,23.85902632907133,0.0
2016-04-01,41.92956018518518,55.14743055555555,25.60680357142857,32.04796064814815,52.14227037037037,18.203236928104573,100.0,4.146331481481482,19.52946484375,0.0
2016-05-01,37.34318996415771,58.599260752688174,23.74462365591398,14.435259856630825,57.65955465949821,19.31471616065781,59.32171658986175,4.319354838709677,16.592321908602152,0.0
2016-06-01,35.87592592592593,83.30145833333333,25.910222222222224,30.836953703703706,61.693665277777775,30.72662459150327,56.17117559523809,4.69734012345679,16.07168185763889,0.0
2016-07-01,38.84734543010753,85.45927419354838,38.462835541474654,28.118344534050177,48.474668458781366,28.051964737507905,97.98676939324116,4.937514934289128,13.490624579973117,0.0
2016-08-01,43.03875448028674,79.82029569892472,36.48641513056835,27.73051075268817,38.15537634408602,22.443390259329536,98.04761904761905,4.510215053763441,21.603494623655912,0.0
2016-09-01,42.104166666666664,85.73215277777778,39.80808531746032,28.528472222222224,27.640462962962964,22.22079248366013,98.47123015873017,4.03391975308642,13.683420138888888,0.0
2016-10-01,45.388545861297544,89.38348993288591,42.547101150527325,37.80175615212528,31.6247355704698,26.457601263324122,99.85086385426654,2.1008405667412378,24.289083892617448,0.0
2016-11-01,49.87015046296296,91.25645833333334,53.054067460317455,35.65614351851852,48.690308333333334,23.89450408496732,93.50586607142857,1.6701901234567902,25.462924913194446,0.0
2016-12-01,45.92293906810036,99.66411290322581,61.6887960829493,33.72379032258064,31.957078853046596,28.188804554079695,99.8481182795699,1.5169354838709677,37.00197412634408,0.0
2017-01-01,40.73869847670251,100.0,72.58901833717357,49.1505376344086,23.58149641577061,26.26166192283365,98.01649769585254,1.4442559737156513,33.069009996639785,0.0
2017-02-01,41.166914682539684,97.1375,63.24112457482993,33.54365079365079,40.04389880952381,13.20636379551821,99.76477465986395,2.3012896825396827,29.50664992559524,0.0
2017-03-01,46.15902964959569,79.2182614555256,47.41836734693878,19.251123090745732,52.28177583108715,11.678176232757256,100.0,3.4792752321054206,34.7467570754717,0.0
2017-04-01,32.27777777777778,67.09909722222223,36.012549603174605,30.818287037037035,41.1866662037037,19.49857802287582,100.0,4.134382716049383,30.24162326388889,0.0
2017-05-01,28.73262673844773,90.71103633916555,22.28648913670448,27.745625841184392,54.02727680574249,14.634193650542315,51.96152759084792,4.670796769851951,17.255394515477793,0.0
2017-06-01,29.495827538247564,88.4787899860918,22.083846612358435,28.01043115438108,41.38020398701901,20.482492023234887,94.74726803099543,5.234894143099984,17.26356050069541,0.0
2017-07-01,40.03136200716846,94.89543010752688,34.166666666666664,27.635304659498207,29.731675627240143,14.251265022137888,93.31221198156682,5.09336917562724,19.15402385752688,0.0
2017-08-01,40.16441441441441,92.67222972972972,36.54787644787645,21.953153153153153,28.11207207207207,11.69352146263911,93.68011583011582,5.010750750750751,19.88788006756757,0.0
2017-09-01,42.519675925925924,88.1036111111111,32.245089285714286,11.208796296296295,29.55921296296296,11.403553921568628,98.68789682539682,4.103148148148148,28.432899305555555,0.0
2017-10-01,47.03082884097035,91.76293800539084,37.45029408933385,23.322246181491465,28.79856244384546,13.974076423022039,100.0,3.26011051212938,29.218942469676545,0.0
2017-11-01,45.28703703703704,93.5325,59.4485615079365,23.770601851851854,35.64125,16.961968954248366,100.0,1.3913888888888888,19.718012152777778,0.0
2017-12-01,41.820116487455195,89.61283602150537,60.13512864823348,26.730286738351257,47.23790322580645,13.990156546489562,95.25672043010752,1.2344086021505376,34.121471774193544,0.0
2018-01-01,41.16083445491252,100.0,59.28806960199962,33.82077164647824,45.248945715567515,9.57960573192938,99.40530667179388,1.5277104830267685,28.07011271870794,0.0
2018-02-01,42.625434674615,100.0,60.71865020225676,27.138847491306507,48.81018380526577,12.199438941001139,99.36959761549925,1.5204835237622123,35.69211065573771,0.0
2018-03-01,35.634278002699055,97.67638326585694,43.75597647966069,21.75348627980207,59.83162393162394,22.072199730094468,94.37565066512434,2.622971959814065,24.759235829959515,0.0
2018-04-01,23.49233983286908,55.27325905292479,18.77049343414246,13.833565459610028,62.53519034354689,25.1357529084057,99.45045762037405,5.041070875889817,23.510532729805014,0.0
