month_start,base_avg,p10,p25,p50,p75,p90,min_price,max_price,std_dev,count,peak_avg,offpeak_avg,peak_offpeak_spread
2015-01-01,177.60183041722746,72.09400000000001,129.175,194.0,238.0,268.0,1.0,305.0,74.6136740673655,743,219.81252199413493,141.79624378109452,78.01627821304041
2015-02-01,164.4659375,48.0,132.075,180.0,208.5,239.999,1.0,285.0,67.05678115575454,672,196.57314935064935,137.2982967032967,59.274852647352645
2015-03-01,143.63154777927323,41.58400000000001,108.97,149.0,195.245,220.67200000000005,1.0,280.0,66.83389480272282,743,165.4831964809384,125.09569651741293,40.38749996352547
2015-04-01,116.17668055555556,12.32,75.1925,119.0,170.5325,202.0,0.01,251.03,67.10950894037076,720,114.95139393939394,117.21346153846154,-2.2620675990676062
2015-05-01,122.38641129032258,56.24699999999999,89.89750000000001,123.355,163.7025,181.87900000000002,1.0,248.0,49.34730480118966,744,126.26527859237537,119.10429280397022,7.160985788405142
2015-06-01,146.94731944444445,83.864,111.78,150.39499999999998,183.2,205.725,12.32,250.0,49.37853891159445,720,159.79651515151514,136.07492307692308,23.721592074592053
2015-07-01,186.16137096774193,124.595,154.92000000000002,189.0,224.99,244.442,50.25,268.0,43.11158373908432,744,202.4024633431085,172.41890818858562,29.98355515452289
2015-08-01,180.03913978494623,105.035,149.0,189.0,220.0,242.944,12.0,280.0,52.218716686080434,744,200.99862170087977,162.3041935483871,38.69442815249266
2015-09-01,182.56153735632185,114.925,149.0,189.0,230.45250000000001,251.0,1.0,275.0,61.23699906719342,696,202.70542319749217,165.51671087533157,37.1887123221606
2015-10-01,173.16728859060404,110.21600000000001,137.68,178.74,209.0,241.0,7.0,280.0,50.857416648137466,745,195.9760997067449,153.91529702970297,42.06080267704192
2015-11-01,163.88725000000002,91.848,130.9675,163.875,209.0,234.53300000000002,1.0,282.0,60.16727286258238,720,189.38821212121212,142.30951282051282,47.0786993006993
2015-12-01,184.73237068965517,102.85,141.9675,189.005,236.6575,267.47,4.0,300.0,63.65713359052284,696,216.8498746081505,157.55602122015915,59.293853387991334
2016-01-01,184.39279569892471,95.018,146.7675,199.01,238.0,258.0,1.0,280.56,65.6740998355712,744,220.20736070381233,154.08816377171215,66.11919693210018
2016-02-01,118.59784482758621,52.03,80.53,119.83500000000001,155.405,189.0,0.9,235.03,51.46558007653983,696,141.6614420062696,99.08249336870026,42.57894863756934
2016-03-01,116.46204576043068,53.728,89.12,114.03,149.0,179.02800000000002,3.5,262.45,47.079934605306654,743,127.91668621700879,106.74554726368159,21.1711389533272
2016-04-01,129.3790138888889,81.51599999999999,99.64,129.125,156.39499999999998,180.0,31.0,239.0,38.19684738936702,720,132.8232424242424,126.46466666666667,6.358575757575736
2016-05-01,120.79774193548387,59.856,92.19,124.28999999999999,155.415,174.0,0.9,248.3,45.65273232255373,744,125.71803519061584,116.63441687344913,9.08361831716671
2016-06-01,135.1583472222222,87.16,99.0,140.0,169.0,184.6,30.0,219.66,39.40424028023961,720,147.00866666666667,125.13115384615385,21.87751282051282
2016-07-01,137.60138440860214,93.916,106.78,149.0,169.0,187.0,0.1,221.38,41.47176247770053,744,145.30577712609968,131.08228287841192,14.223494247687768
2016-08-01,137.08872311827957,88.272,103.7325,144.04000000000002,170.20250000000001,187.4,23.5,240.86,41.82980621040718,744,148.90190615835778,127.092952853598,21.80895330475977
2016-09-01,159.14819444444444,108.86500000000001,132.425,158.55,186.0925,200.589,74.52,256.0,35.483457511324396,720,170.52727272727273,149.51974358974357,21.00752913752916
2016-10-01,184.77083221476508,128.30800000000002,149.0,181.0,225.08,263.26,5.0,300.0,55.746492973786076,745,202.54668621700878,169.76695544554457,32.779730771464216
2016-11-01,168.02025,77.70000000000002,136.465,169.01999999999998,213.495,247.183,1.0,319.74,64.07989209796247,720,193.86969696969697,146.14764102564104,47.72205594405594
2016-12-01,194.28389784946236,91.0,146.905,198.52499999999998,260.0125,283.91900000000004,1.0,336.99,76.31823104188383,744,226.0248680351906,167.42615384615385,58.59871418903674
2017-01-01,338.68353494623653,151.845,227.855,320.0,426.22249999999997,574.5790000000007,40.0,653.68,145.53267438019483,744,412.3938709677419,276.3132506203474,136.08062034739453
2017-02-01,243.35148809523812,129.0,159.965,225.49,299.09,355.239,20.01,680.0,121.421209347673,672,293.1210714285714,201.23876373626373,91.88230769230765
2017-03-01,165.38685060565274,86.572,126.845,168.92,208.39999999999998,239.274,7.0,336.0,59.93929212746683,743,184.53017595307918,149.14835820895522,35.381817744123964
2017-04-01,172.4336111111111,101.837,133.0,171.155,211.39249999999998,249.127,5.0,315.0,58.66834073387519,720,177.1468787878788,168.44546153846153,8.701417249417261
2017-05-01,182.66818548387099,96.335,138.58249999999998,191.69,229.0,265.5540000000001,0.6,319.0,67.27090653882298,744,195.18117302052786,172.08027295285362,23.100900067674246
2017-06-01,193.98904166666665,117.855,142.68,188.0,248.7525,278.0,32.0,329.0,65.06198487163127,720,219.4857575757576,172.41489743589742,47.07086013986017
2017-07-01,230.92051075268816,133.734,180.54500000000002,229.0,287.0,329.889,1.0,399.0,73.39745349133032,744,267.514780058651,199.95612903225808,67.55865102639294
2017-08-01,260.47826612903225,114.566,170.105,243.885,334.1175,456.71400000000006,10.0,570.0,127.54113191792752,744,308.81208211143695,219.58042183622828,89.23166027520867
2017-09-01,197.76205555555555,128.324,152.0,194.0,239.0,268.08099999999996,22.66,500.0,64.74137899829229,720,221.15945454545454,177.9642564102564,43.195198135198126
