date,base_eur_mwh,peak_eur_mwh,offpeak_eur_mwh,peak_offpeak_spread
2015-01-01,146.41608695652175,133.86454545454546,157.92166666666665,-24.05712121212119
2015-01-02,181.02541666666664,231.82090909090905,138.04461538461538,93.77629370629367
2015-01-03,171.28833333333333,243.50363636363636,110.18307692307692,133.32055944055944
2015-01-04,175.84708333333333,247.42,115.28538461538461,132.13461538461536
2015-01-05,202.1604166666667,254.81545454545457,157.60615384615386,97.20930069930071
2015-01-06,188.5533333333333,222.3990909090909,159.9146153846154,62.4844755244755
2015-01-07,196.82791666666665,249.25636363636366,152.4653846153846,96.79097902097905
2015-01-08,265.6404166666667,298.94,237.46384615384616,61.476153846153835
2015-01-09,197.42083333333335,251.61,151.56846153846152,100.0415384615385
2015-01-10,171.34375,236.72090909090912,116.02461538461537,120.69629370629374
2015-01-11,139.9025,203.91454545454545,85.73846153846154,118.17608391608391
2015-01-12,168.05208333333334,225.22272727272727,119.67692307692307,105.5458041958042
2015-01-13,207.93666666666664,242.90727272727273,178.34615384615384,64.56111888111889
2015-01-14,213.62666666666667,251.21818181818182,181.81846153846152,69.3997202797203
2015-01-15,208.12791666666666,235.83636363636361,184.6823076923077,51.154055944055926
2015-01-16,194.92583333333334,236.93818181818185,159.37692307692308,77.56125874125877
2015-01-17,151.29208333333335,174.00272727272727,132.07538461538462,41.92734265734265
2015-01-18,141.11083333333332,169.2018181818182,117.34153846153846,51.860279720279735
2015-01-19,212.75833333333333,261.23,171.74384615384616,89.48615384615385
2015-01-20,206.2125,245.8881818181818,172.64076923076922,73.24741258741258
2015-01-21,203.21624999999997,239.6918181818182,172.35230769230768,67.33951048951053
2015-01-22,189.20583333333335,221.27272727272728,162.0723076923077,59.20041958041958
2015-01-23,135.21666666666667,163.27272727272728,111.47692307692309,51.795804195804195
2015-01-24,110.90666666666665,159.94272727272727,69.41461538461539,90.52811188811188
2015-01-25,134.78458333333333,162.07090909090908,111.69615384615385,50.374755244755235
2015-01-26,190.93791666666667,232.36363636363637,155.88538461538462,76.47825174825175
2015-01-27,212.81958333333333,257.78363636363633,174.77307692307693,83.0105594405594
2015-01-28,188.9625,223.98909090909092,159.32461538461536,64.66447552447556
2015-01-29,198.81958333333333,259.98636363636365,147.06307692307692,112.92328671328673
2015-01-30,105.12916666666666,143.27272727272728,72.85384615384615,70.41888111888113
2015-01-31,93.88958333333333,133.8309090909091,60.09307692307693,73.73783216783218
2015-02-01,130.09333333333333,161.24545454545455,103.73384615384614,57.511608391608405
2015-02-02,187.13083333333336,226.6490909090909,153.69230769230768,72.95678321678321
2015-02-03,191.82125,226.35818181818183,162.5976923076923,63.76048951048952
2015-02-04,149.34583333333333,172.2118181818182,129.99769230769232,42.21412587412587
2015-02-05,189.11166666666668,238.32454545454547,147.47,90.85454545454547
2015-02-06,102.54,145.27272727272728,66.38153846153847,78.89118881118881
2015-02-07,127.23583333333333,189.72727272727272,74.35846153846154,115.36881118881118
2015-02-08,84.28208333333333,108.25818181818181,63.99461538461538,44.26356643356643
2015-02-09,145.18,196.2472727272727,101.96923076923076,94.27804195804194
2015-02-10,182.42708333333334,219.87727272727273,150.73846153846154,69.13881118881119
2015-02-11,138.55333333333334,187.9090909090909,96.79076923076923,91.11832167832168
2015-02-12,166.45041666666665,216.00818181818184,124.51692307692308,91.49125874125876
2015-02-13,197.44958333333332,220.54,177.91153846153844,42.62846153846155
2015-02-14,206.67666666666665,230.98,186.1123076923077,44.867692307692295
2015-02-15,182.74375,209.72,159.9176923076923,49.80230769230769
2015-02-16,176.78083333333333,201.1009090909091,156.20230769230767,44.89860139860144
2015-02-17,148.90291666666667,186.1809090909091,117.36,68.8209090909091
2015-02-18,193.55666666666664,212.32636363636365,177.67461538461538,34.65174825174827
2015-02-19,185.29291666666666,208.33545454545455,165.79538461538462,42.54006993006993
