date,eur_ron
2009-08-24,4.2225
2009-08-25,4.2115
2009-08-26,4.2244
2009-08-27,4.2226
2009-08-28,4.2147
2009-08-29,4.2147
2009-08-30,4.2147
2009-08-31,4.2218
2009-09-01,4.2275
2009-09-02,4.2446
2009-09-03,4.2458
2009-09-04,4.2492
2009-09-05,4.2492
2009-09-06,4.2492
2009-09-07,4.2456
2009-09-08,4.2447
2009-09-09,4.2488
2009-09-10,4.2543
2009-09-11,4.2803
2009-09-12,4.2803
2009-09-13,4.2803
2009-09-14,4.2759
2009-09-15,4.2649
2009-09-16,4.2641
2009-09-17,4.2581
2009-09-18,4.2674
2009-09-19,4.2674
2009-09-20,4.2674
2009-09-21,4.2703
2009-09-22,4.2459
2009-09-23,4.2294
2009-09-24,4.2165
2009-09-25,4.2033
2009-09-26,4.2033
2009-09-27,4.2033
2009-09-28,4.2038
2009-09-29,4.1872
2009-09-30,4.2169
2009-10-01,4.2594
2009-10-02,4.2735
2009-10-03,4.2735
2009-10-04,4.2735
2009-10-05,4.2645
2009-10-06,4.2588
2009-10-07,4.2698
2009-10-08,4.2622
2009-10-09,4.2819
2009-10-10,4.2819
2009-10-11,4.2819
2009-10-12,4.2793
2009-10-13,4.2942
2009-10-14,4.2964
2009-10-15,4.2919
2009-10-16,4.2877
2009-10-17,4.2877
2009-10-18,4.2877
2009-10-19,4.292
2009-10-20,4.2955
2009-10-21,4.2966
2009-10-22,4.2864
2009-10-23,4.288
2009-10-24,4.288
2009-10-25,4.288
2009-10-26,4.2876
2009-10-27,4.2919
2009-10-28,4.3252
2009-10-29,4.3096
2009-10-30,4.307
2009-10-31,4.307
2009-11-01,4.307
2009-11-02,4.3102
2009-11-03,4.297
2009-11-04,4.2982
2009-11-05,4.3074
2009-11-06,4.3041
2009-11-07,4.3041
2009-11-08,4.3041
2009-11-09,4.2937
2009-11-10,4.2952
2009-11-11,4.2926
2009-11-12,4.3015
2009-11-13,4.2937
2009-11-14,4.2937
2009-11-15,4.2937
2009-11-16,4.2941
2009-11-17,4.2925
2009-11-18,4.2656
2009-11-19,4.2775
2009-11-20,4.2822
2009-11-21,4.2822
2009-11-22,4.2822
2009-11-23,4.2729
2009-11-24,4.2645
2009-11-25,4.2611
2009-11-26,4.2907
2009-11-27,4.2752
2009-11-28,4.2752
2009-11-29,4.2752
2009-11-30,4.2632
2009-12-01,4.2534
2009-12-02,4.2392
2009-12-03,4.2074
2009-12-04,4.2275
2009-12-05,4.2275
2009-12-06,4.2275
2009-12-07,4.2294
2009-12-08,4.2377
2009-12-09,4.2486
2009-12-10,4.2454
2009-12-11,4.2515
2009-12-12,4.2515
2009-12-13,4.2515
2009-12-14,4.2492
2009-12-15,4.2447
2009-12-16,4.218
2009-12-17,4.2094
2009-12-18,4.2089
2009-12-19,4.2089
2009-12-20,4.2089
2009-12-21,4.2151
2009-12-22,4.2203
2009-12-23,4.196
2009-12-24,4.207
2009-12-25,4.2072
2009-12-26,4.2072
2009-12-27,4.2072
2009-12-28,4.205
2009-12-29,4.2165
2009-12-30,4.2373
2009-12-31,4.238
2010-01-01,4.2425
2010-01-02,4.2425
2010-01-03,4.2425
2010-01-04,4.2138
2010-01-05,4.1844
2010-01-06,4.1628
2010-01-07,4.1677
2010-01-08,4.1622
2010-01-09,4.1622
2010-01-10,4.1622
2010-01-11,4.1263
2010-01-12,4.13
2010-01-13,4.1248
2010-01-14,4.1288
2010-01-15,4.1048
2010-01-16,4.1048
2010-01-17,4.1048
2010-01-18,4.1065
2010-01-19,4.1159
2010-01-20,4.1361
2010-01-21,4.1449
2010-01-22,4.1511
2010-01-23,4.1511
2010-01-24,4.1511
2010-01-25,4.1149
2010-01-26,4.1304
2010-01-27,4.1317
2010-01-28,4.1383
2010-01-29,4.0975
2010-01-30,4.0975
2010-01-31,4.0975
2010-02-01,4.0784
2010-02-02,4.0865
2010-02-03,4.1063
2010-02-04,4.1289
2010-02-05,4.1421
2010-02-06,4.1421
2010-02-07,4.1421
2010-02-08,4.1369
2010-02-09,4.1222
2010-02-10,4.113
2010-02-11,4.1127
2010-02-12,4.1283
2010-02-13,4.1283
2010-02-14,4.1283
2010-02-15,4.1191
2010-02-16,4.1155
2010-02-17,4.1182
2010-02-18,4.1315
2010-02-19,4.1402
2010-02-20,4.1402
2010-02-21,4.1402
2010-02-22,4.1276
2010-02-23,4.1293
2010-02-24,4.122
2010-02-25,4.1219
2010-02-26,4.1125
2010-02-27,4.1125
2010-02-28,4.1125
2010-03-01,4.1067
2010-03-02,4.1064
2010-03-03,4.085
2010-03-04,4.0928
2010-03-05,4.0914
2010-03-06,4.0914
2010-03-07,4.0914
2010-03-08,4.0906
2010-03-09,4.0942
2010-03-10,4.0915
2010-03-11,4.0965
2010-03-12,4.0913
2010-03-13,4.0913
2010-03-14,4.0913
2010-03-15,4.088
2010-03-16,4.0888
2010-03-17,4.0776
2010-03-18,4.0781
2010-03-19,4.0837
2010-03-20,4.0837
2010-03-21,4.0837
2010-03-22,4.0865
2010-03-23,4.0709
2010-03-24,4.0579
2010-03-25,4.06
2010-03-26,4.0694
2010-03-27,4.0694
2010-03-28,4.0694
2010-03-29,4.0654
2010-03-30,4.0718
2010-03-31,4.0915
2010-04-01,4.1068
2010-04-02,4.0999
2010-04-03,4.0999
2010-04-04,4.0999
2010-04-05,4.1021
2010-04-06,4.0921
2010-04-07,4.0921
2010-04-08,4.1205
2010-04-09,4.1322
2010-04-10,4.1322
2010-04-11,4.1322
2010-04-12,4.1259
2010-04-13,4.1409
2010-04-14,4.1402
2010-04-15,4.1441
2010-04-16,4.1484
2010-04-17,4.1484
2010-04-18,4.1484
2010-04-19,4.1578
2010-04-20,4.1447
2010-04-21,4.1335
2010-04-22,4.1374
2010-04-23,4.1239
2010-04-24,4.1239
2010-04-25,4.1239
2010-04-26,4.115
2010-04-27,4.1402
2010-04-28,4.1376
2010-04-29,4.133
2010-04-30,4.1283
2010-05-01,4.1283
2010-05-02,4.1283
2010-05-03,4.1279
2010-05-04,4.1478
2010-05-05,4.1851
2010-05-06,4.2183
2010-05-07,4.1945
2010-05-08,4.1945
2010-05-09,4.1945
2010-05-10,4.1654
