month_start,biomass_avg_mw,lignite_avg_mw,gas_avg_mw,hard_coal_avg_mw,hydro_ror_avg_mw,hydro_reservoir_avg_mw,nuclear_avg_mw,solar_avg_mw,wind_avg_mw,storage_avg_mw,biomass_total_mwh,lignite_total_mwh,gas_total_mwh,hard_coal_total_mwh,hydro_ror_total_mwh,hydro_reservoir_total_mwh,nuclear_total_mwh,solar_total_mwh,wind_total_mwh,storage_total_mwh,total_generation_mwh,biomass_share_pct,lignite_share_pct,gas_share_pct,hard_coal_share_pct,hydro_ror_share_pct,hydro_reservoir_share_pct,nuclear_share_pct,solar_share_pct,wind_share_pct,storage_share_pct
2015-01-01,68.35370662460568,288.4166666666667,1195.1383753943217,2149.1090277777776,1498.4442147435896,1014.1716185897435,1408.7879337539432,56.373264984227134,926.7150315457412,,43336.25,186894.0,757717.73,1392622.65,935029.19,632843.09,893171.55,35740.65,587537.33,0.0,5464892.4399999995,0.7929936494779393,3.419902624835559,13.865190181126422,25.483075198457154,17.109745530508558,11.580156369921161,16.343808406227296,0.6540046376466286,10.751123401799287,0.0
2015-02-01,69.52245535714285,295.4389880952381,1021.3151488095239,1874.367886904762,1511.9071279761904,971.6101080246913,1407.6230357142858,92.60438988095238,1065.9347321428572,,46719.09,198535.0,686323.78,1259575.22,1016001.59,629603.35,945922.68,62230.15,716308.14,0.0,5561218.999999999,0.840087218287933,3.5699906801008923,12.341247125854963,22.649264846430256,18.26940442374235,11.321319120861812,17.00926865135144,1.119001967014786,12.88041596635558,0.0
2015-03-01,67.61733512786003,261.61051212938,935.1800403768507,1618.4073889636607,1662.2918267929633,975.7143055555556,1353.6032839838492,129.5556527590848,931.804199192463,,50239.68,194115.0,694838.77,1202476.69,1228433.66,702514.3,1005727.24,96259.85,692330.52,0.0,5866935.709999999,0.8563189113248356,3.3086266765994616,11.843299540775096,20.49582182996173,20.938249892634328,11.974126438825424,17.14229181488679,1.6407176549749516,11.800547240017398,0.0
2015-04-01,56.069097222222226,208.26564673157162,523.158013888889,1670.0487500000002,1700.6018055555555,794.1365277777778,1360.5285416666668,179.77491666666668,1047.940361111111,,40369.75,149743.0,376673.77,1202435.1,1224433.3,571778.3,979580.55,129437.94,754517.06,0.0,5428968.77,0.7435988621463373,2.758221797617746,6.938219502780453,22.148499115422247,22.553699456996508,10.531987274629323,18.043584177773788,2.38420859436994,13.89798121826367,0.0
2015-05-01,65.54827956989247,568.1209677419355,442.5373924731183,1028.3530376344086,1563.6662180349933,998.9730820995962,875.9682661290323,185.74806451612903,540.1666666666666,,48767.92,422682.0,329247.82,765094.66,1161804.0,742237.0,651720.39,138196.56,401884.0,0.0,4661634.35,1.046154982104077,9.067249129052776,7.06292676086875,16.41258414015248,24.922675456087628,15.922248384839538,13.980512864549318,2.9645516920476616,8.621096590297778,0.0
2015-06-01,61.80555555555556,1432.4,673.9611111111111,157.28472222222223,1265.0097222222223,684.5652777777777,1285.986111111111,201.5611111111111,601.1125,,44500.0,1031328.0,485252.0,113245.0,910807.0,492887.0,925910.0,145124.0,432801.0,0.0,4581854.0,0.9712225662362878,22.508966894187374,10.590734667669462,2.471597741874796,19.878568806426394,10.757370269764161,20.208195197839128,3.1673641281455063,9.445979727856889,0.0
2015-07-01,57.93329301075269,2091.3346774193546,1273.7422580645161,250.44477150537634,929.9335666218035,575.3027456258412,1356.2174596774194,218.784623655914,386.6597580645161,,43102.37,1555953.0,947664.24,186330.91,690940.64,427449.94,1009025.79,162775.76,287674.86,0.0,5310917.510000001,0.8115804833880765,29.297254138673296,17.843700984163842,3.508450463581009,13.00981682918287,8.048514012788724,18.99908609199995,3.0649272878651805,5.416669708357039,0.0
2015-08-01,62.043010752688176,2095.0752688172042,1253.4556451612902,186.0241935483871,717.010752688172,609.9005376344086,1352.9623655913979,205.81317204301075,633.3467741935484,,46160.0,1558736.0,932571.0,138402.0,533456.0,453766.0,1006604.0,153125.0,471210.0,0.0,5294030.0,0.8719255463229335,29.443278560945064,17.615521634747065,2.614303281243212,10.076557934125798,8.57127745781569,19.013945897548748,2.892408996548943,8.900780690702547,0.0
2015-09-01,57.727777777777774,2069.0333333333333,1158.4458333333334,187.81805555555556,672.4458333333333,619.7930555555556,1364.9805555555556,155.64444444444445,759.9888888888889,,41564.0,1489704.0,834081.0,135229.0,484161.0,446251.0,982786.0,112064.0,547192.0,0.0,5073032.0,0.819312789668979,29.365160716510363,16.44146932248801,2.665644529740794,9.543819159823947,8.796534301380317,19.37275380876762,2.20901425419749,10.786291117422481,0.0
2015-10-01,58.457959731543625,1844.476510067114,1341.7628187919463,285.6423624161074,1071.3806040268457,611.4640939597316,1396.4670201342283,113.93373154362416,744.2707785234899,,43551.18,1374135.0,999613.3,212803.56,798178.55,455540.75,1040367.93,84880.63,554481.73,0.0,5563552.630000001,0.782794428242876,24.69887662408974,17.967176127890784,3.8249581544805116,14.346562405036508,8.187947167851272,18.69970501204731,1.5256551999221402,9.966324880438847,0.0
